cluster,aps
0,"[618142, 601806, 724689, 724710, 134951, 708397, 716581, 716602, 708418, 675873, 700531, 708863, 708884, 430454, 676243, 725541, 725562, 701069, 62195, 717571, 717592, 611105, 639014, 475188, 726008, 726029, 701485, 590121, 688418, 696672, 152755, 701739, 680526, 696992, 14042, 639654, 680624, 352978, 656099, 713487, 713508, 443306, 694388, 689306, 710941, 710962, 301435, 178560, 694674, 719431, 719452, 730337, 730358, 629593, 574863, 621457, 654270, 678884, 252956, 597575, 679548, 607656, 630545, 697784, 714209, 706047, 714230, 688028, 655268, 591442, 704439, 599676, 671697, 704471, 706205, 468793, 698258, 690128, 657378, 321512, 657458, 616544, 624767, 723332, 723353, 715226, 715247, 690822, 690854, 707258, 707279, 682764, 609088, 600978, 691108, 445433, 691268, 691364]"
1,"[478534, 429377, 699745, 126340, 650644, 699809, 658866, 388556, 683513, 691714, 699905, 413206, 716329, 675375, 716350, 626269, 716371, 716392, 675432, 175719, 503393, 667248, 700061, 700093, 691938, 601850, 651018, 667436, 634661, 372543, 700251, 708439, 708460, 692064, 724863, 700315, 724884, 634793, 724905, 569261, 724926, 241588, 724947, 724968, 692222, 692254, 77905, 725074, 725095, 708737, 700563, 708758, 659675, 708821, 708842, 37136, 700755, 479591, 659825, 692668, 700851, 537037, 610753, 725499, 692732, 700943, 602626, 217625, 725520, 561685, 692796, 668211, 414279, 725583, 602714, 709206, 709227, 619109, 725604, 725625, 692860, 610929, 725646, 660149, 611017, 668366, 709332, 709353, 578283, 709374, 226058, 720925, 709395, 679981, 701229, 696356, 340780, 693050, 720946, 635700, 611149, 671822, 725838, 373596, 688194, 655429, 725859, 426064, 729186, 684919, 398213, 701325, 729207, 704631, 627606, 422821, 696448, 114833, 655511, 283591, 729271, 704695, 721096, 729292, 688322, 196813, 262358, 721117, 385234, 693242, 685071, 717827, 717848, 627738, 652317, 57592, 676935, 712974, 709715, 709736, 721180, 595044, 712995, 693368, 696608, 185463, 709757, 701579, 721201, 717953, 254274, 709778, 652434, 717974, 721222, 701611, 721243, 677033, 554147, 688482, 598373, 595132, 611522, 693464, 647537, 644308, 701675, 406752, 369018, 726267, 693496, 718079, 709885, 300288, 709906, 726288, 718100, 718121, 726309, 726330, 718142, 701771, 709969, 603488, 709990, 619890, 655755, 619934, 246167, 622993, 718248, 704915, 718269, 611786, 713146, 726479, 464328, 713167, 652771, 726501, 655838, 721391, 614895, 611830, 696800, 251398, 538132, 696832, 611874, 639494, 721412, 614939, 710181, 710202, 652860, 598549, 672291, 726607, 611918, 729654, 631369, 636517, 729675, 726628, 661115, 598593, 623169, 611962, 620154, 688704, 696896, 614983, 718460, 721476, 721497, 598637, 677530, 718481, 705127, 631413, 729738, 710307, 705159, 620198, 656027, 721561, 710328, 729759, 541342, 693942, 721582, 726734, 710349, 612050, 729780, 729801, 702187, 710370, 726755, 653030, 718586, 697056, 718607, 713445, 566008, 713466, 14088, 623345, 702251, 628523, 661294, 440098, 710434, 647949, 710456, 694070, 702283, 669513, 718671, 705285, 598813, 341846, 631589, 718692, 672591, 688960, 702347, 721732, 721753, 685967, 631633, 620418, 14226, 645035, 598901, 710605, 107406, 705413, 628699, 680856, 423891, 631721, 710626, 686076, 705445, 730034, 598989, 320450, 205769, 730055, 620550, 727070, 549851, 689116, 727091, 631783, 694356, 697372, 14450, 669817, 710773, 710794, 680999, 361527, 645261, 656451, 170147, 230474, 719010, 694450, 719031, 587972, 702661, 669931, 702693, 631959, 719094, 719115, 694546, 702757, 727368, 702789, 727389, 702821, 476333, 648357, 661874, 702853, 719263, 727453, 653757, 727474, 719284, 694798, 727580, 457255, 670256, 727601, 703045, 539226, 694890, 596577, 678512, 694922, 686731, 596621, 645800, 607436, 722155, 632047, 697592, 517389, 722176, 115983, 328979, 591134, 31424, 711365, 640328, 711386, 591178, 383699, 670428, 722248, 637651, 629461, 632135, 705887, 596709, 607568, 681299, 719604, 719625, 727832, 596753, 678703, 727853, 621369, 605002, 727874, 686913, 727895, 695146, 714081, 621413, 714102, 623989, 722293, 714123, 664971, 678814, 605090, 629681, 15298, 605134, 711619, 703451, 711640, 695272, 662502, 703483, 711703, 728086, 728107, 711724, 64581, 728128, 703579, 728149, 695400, 654442, 531620, 711871, 449713, 728256, 703707, 711892, 728277, 728299, 695528, 720113, 589045, 679159, 695560, 728321, 720134, 720155, 703771, 711956, 711977, 720176, 81217, 638293, 654703, 597399, 703931, 654784, 597443, 695750, 24059, 654867, 663087, 695846, 671268, 704059, 122419, 728638, 147007, 695878, 704089, 728659, 728680, 458346, 622201, 728701, 269945, 228998, 540290, 392853, 687770, 704153, 179863, 597663, 712380, 671426, 712401, 663274, 646895, 656794, 630501, 720626, 679665, 615849, 704247, 605955, 696070, 720647, 714144, 728850, 712465, 524066, 712486, 591310, 728871, 673243, 697816, 706015, 722398, 591354, 722419, 632311, 696166, 720755, 319352, 640532, 720776, 730685, 442242, 671619, 679838, 673355, 370253, 491438, 597927, 548788, 714337, 730727, 730748, 606175, 714358, 712675, 401386, 729060, 730769, 712696, 729081, 655355, 632487, 704503, 722610, 648910, 722631, 689874, 599764, 689906, 395004, 698100, 599808, 673560, 648990, 591662, 419625, 722781, 649067, 526203, 722802, 722823, 722844, 690064, 690096, 714676, 681930, 714697, 722907, 165841, 296935, 698354, 722928, 714760, 706575, 493591, 714781, 682013, 149533, 641064, 706596, 616500, 403521, 698450, 624723, 133226, 608392, 600204, 714886, 723078, 723099, 714907, 190614, 706746, 714928, 608436, 706767, 714949, 624855, 428260, 690470, 674085, 117068, 698706, 665967, 706916, 706937, 633222, 174484, 649630, 723416, 698832, 682478, 723437, 690662, 289276, 100860, 649731, 592425, 690726, 690758, 649817, 592513, 576130, 658053, 436880, 592557, 715439, 682698, 699086, 715460, 592601, 338648, 707300, 707321, 658191, 649991, 699180, 715565, 396079, 35632, 707384, 600890, 592689, 707405, 715586, 420689, 609132, 707468, 650131, 527255, 707489, 592821, 691140, 625629, 642003, 601066, 592865, 650208, 666612, 723968, 183308, 633863, 298007, 723989, 633907, 683074, 699463, 674927, 658532, 363638, 650366, 707723, 691332, 666779, 707744, 658616, 593085, 707765, 707786, 19651, 347343, 224467, 216277, 650472, 666850, 208148, 191781, 683298, 699681, 724263, 724284]"
2,"[675127, 658762, 675159, 675191, 658805, 699777, 593305, 667028, 691618, 724390, 724412, 708018, 691650, 699841, 708039, 708060, 650726, 716287, 708081, 716308, 699965, 708187, 699997, 691810, 700029, 708208, 593525, 601718, 708229, 708250, 683668, 437954, 667354, 667386, 724732, 339711, 691970, 642842, 724754, 544558, 692000, 700219, 642906, 634705, 724820, 724842, 683873, 659322, 683905, 692158, 700377, 716752, 643029, 708567, 708589, 716774, 651237, 716796, 724989, 700407, 716818, 725010, 700437, 667680, 446509, 585784, 659516, 700467, 168007, 299074, 700499, 667734, 716886, 708695, 716910, 708716, 495731, 692350, 684191, 364696, 692414, 684255, 643295, 692478, 717061, 717086, 659749, 676152, 717108, 717129, 651585, 692574, 725329, 676202, 725351, 651672, 692636, 455075, 725414, 725435, 676300, 700881, 709078, 602582, 709099, 684521, 619021, 709121, 709143, 193058, 610885, 717402, 291424, 717423, 668286, 504468, 725711, 651970, 692954, 717529, 717550, 725732, 725754, 676605, 635656, 712718, 4867, 725775, 652047, 693018, 712739, 712761, 643912, 606263, 720968, 712783, 598109, 720989, 704599, 652134, 647274, 278626, 693114, 725881, 709501, 725902, 712805, 712827, 676738, 357264, 709523, 680075, 663694, 729229, 688258, 693178, 573614, 729250, 696480, 652231, 684996, 717785, 709588, 709610, 717806, 529389, 655571, 663778, 696544, 644153, 595000, 655603, 721138, 701515, 729355, 324695, 688386, 696576, 721159, 729376, 586875, 622905, 557369, 169080, 713017, 729398, 704821, 680271, 713039, 595088, 729420, 726180, 729441, 726202, 701643, 365761, 409963, 721265, 729462, 652529, 603400, 693528, 685394, 710012, 603532, 729484, 696704, 639364, 710034, 721286, 652692, 729506, 693720, 456153, 688576, 644578, 647618, 721349, 721370, 718333, 669171, 647676, 718355, 693782, 713231, 729612, 701995, 680451, 705041, 623125, 644663, 702027, 729633, 713252, 349770, 41521, 13908, 693878, 702091, 721519, 669346, 680577, 721540, 598681, 644831, 705191, 713403, 697024, 623301, 705223, 393929, 721604, 721625, 317168, 713424, 705253, 161540, 653082, 87835, 718629, 718650, 688896, 148243, 612182, 595836, 694134, 628611, 664404, 653200, 648069, 729991, 653255, 473047, 730013, 694228, 702443, 697248, 697278, 689084, 639960, 648154, 697308, 492513, 721901, 713698, 680929, 656359, 713720, 697340, 640010, 721922, 689180, 702567, 718968, 648210, 402457, 325764, 222248, 718989, 448652, 653464, 604315, 730163, 661657, 727198, 664649, 730184, 678034, 686228, 686252, 727219, 672873, 669877, 727241, 689274, 727263, 497880, 705665, 697496, 694514, 727326, 653612, 637216, 694578, 727347, 670007, 710983, 711004, 637280, 686435, 645502, 694642, 697528, 727411, 730292, 727432, 678279, 702885, 47549, 727496, 670172, 727517, 694736, 711154, 727538, 645640, 653834, 612869, 727559, 711175, 711196, 678442, 694828, 653882, 711217, 694858, 645710, 711238, 711259, 645742, 662125, 703077, 653947, 719474, 350847, 719496, 670344, 703107, 719518, 730316, 722113, 722134, 705791, 591090, 713994, 730380, 703137, 596665, 714016, 670393, 730401, 686782, 681249, 719539, 66861, 694986, 703169, 730423, 293588, 730445, 645858, 522986, 533841, 686834, 711408, 645890, 711430, 695082, 129825, 629549, 670557, 711535, 703357, 629637, 711556, 375724, 703419, 400318, 711661, 711682, 424980, 703547, 687155, 728171, 703611, 605310, 679051, 728193, 687298, 720070, 720092, 687354, 670971, 638194, 654622, 728343, 671019, 728364, 671043, 679235, 728385, 720198, 720220, 646480, 728406, 245090, 671105, 695686, 720284, 695718, 310718, 720305, 728512, 638427, 728533, 597487, 720368, 687624, 720389, 638482, 646714, 106036, 654922, 638547, 302681, 712294, 712315, 654976, 704183, 655073, 728807, 671481, 705951, 632223, 728829, 689556, 411041, 673191, 714166, 704279, 714188, 696102, 656873, 696134, 50672, 681461, 730635, 247310, 697878, 730657, 714294, 696196, 681527, 697908, 214594, 704407, 714316, 647072, 656987, 712633, 640621, 712654, 638924, 696260, 722567, 679913, 140948, 722589, 689842, 591574, 714506, 722695, 714527, 722716, 689936, 722738, 698164, 714549, 714570, 722760, 706415, 665465, 673648, 640884, 264070, 599940, 706436, 706458, 657297, 706480, 649157, 665543, 640977, 673747, 583670, 673837, 665636, 706618, 378935, 690252, 723036, 706640, 673918, 698482, 723057, 665718, 616588, 690316, 641174, 657629, 698610, 723205, 715013, 723227, 715035, 698642, 706873, 715056, 706895, 690502, 715077, 387431, 690534, 27004, 723374, 723395, 641488, 412127, 707045, 707066, 723458, 641541, 707088, 723479, 231964, 707109, 682554, 698928, 158327, 723585, 682630, 707216, 723607, 707237, 674494, 641727, 666290, 723672, 666346, 723693, 699116, 690918, 674553, 707342, 641794, 690948, 707363, 690980, 699212, 723841, 658329, 723863, 699336, 658390, 723926, 723947, 699368, 510948, 674785, 707596, 166921, 724010, 642095, 707617, 699431, 724031, 707639, 707660, 666700, 633951, 691300, 699525, 93329, 715946, 724137, 715967, 724158, 683213, 699585, 715989, 716010, 109792]"
3,"[11591, 691522, 453995, 716158, 142711, 118137, 691586, 716179, 658832, 675243, 716201, 683438, 716222, 69074, 724434, 11744, 724455, 708103, 699935, 708124, 724519, 724540, 691842, 85675, 724646, 675516, 724668, 650960, 716497, 716518, 634617, 724776, 724798, 683841, 12120, 692126, 708524, 528311, 708545, 12282, 716840, 725032, 12326, 725053, 716861, 708779, 708800, 692446, 667881, 651493, 700659, 643356, 708906, 708927, 700723, 708949, 708970, 684389, 692606, 700787, 708992, 709014, 643505, 12754, 692700, 643537, 725457, 700911, 725478, 643594, 651886, 701037, 643714, 520844, 692892, 709290, 701101, 725668, 692922, 725690, 709311, 701133, 21195, 13053, 668424, 647186, 709416, 688162, 717614, 709437, 701261, 717636, 717658, 709458, 696386, 717679, 701293, 709479, 696416, 635788, 65662, 709545, 471972, 676770, 725924, 725945, 709566, 688290, 13256, 676826, 701421, 709631, 693272, 327919, 709652, 726051, 693304, 726073, 513096, 627782, 447583, 685142, 672006, 652375, 663835, 8487, 663867, 672063, 704853, 287076, 713061, 713082, 709842, 726224, 704883, 709864, 726246, 685311, 668984, 701803, 718206, 644485, 718227, 721307, 713104, 726436, 672148, 726457, 696736, 713125, 729528, 704947, 721328, 729549, 696768, 672210, 704979, 693752, 685557, 644631, 213502, 390693, 726565, 721434, 726586, 721455, 620110, 434730, 8750, 644721, 713316, 693910, 713338, 647819, 726692, 726713, 713360, 713382, 628435, 669418, 721647, 694006, 680696, 579347, 489260, 664322, 639744, 721669, 710478, 726860, 721690, 63304, 694102, 721711, 702315, 726881, 713529, 710500, 713550, 525137, 694166, 713571, 74609, 713592, 718755, 689022, 718776, 697216, 726986, 718797, 661453, 686018, 721817, 727007, 721838, 718818, 645114, 276477, 718839, 571404, 718860, 661510, 694292, 604183, 702505, 718882, 730077, 718904, 132057, 145465, 727113, 705509, 727134, 730099, 664566, 377858, 672781, 705539, 721943, 727155, 721964, 705571, 727176, 640058, 189493, 710815, 694418, 721986, 702629, 722008, 686268, 689244, 710836, 710857, 713825, 697466, 710878, 713846, 227571, 656533, 681133, 719137, 719158, 694610, 711026, 711048, 711069, 661951, 711090, 694704, 645569, 432602, 694766, 662008, 334373, 686680, 391768, 6815, 672967, 689370, 451847, 689432, 722198, 722220, 697656, 719561, 714038, 689462, 719583, 703199, 714060, 72423, 113392, 648533, 689492, 673135, 138000, 703263, 695114, 580423, 719730, 654196, 695178, 719751, 719772, 662429, 670624, 719793, 695240, 719815, 719836, 728043, 637946, 719858, 719880, 646144, 728065, 277547, 695368, 572512, 703643, 326841, 515257, 679107, 7379, 711914, 703739, 711935, 367914, 687432, 662851, 695656, 703867, 712125, 712146, 646632, 728554, 728575, 482820, 335442, 687701, 720495, 720517, 720539, 712337, 188067, 351908, 712359, 679614, 638652, 720561, 720583, 417481, 720605, 558467, 466667, 712423, 712444, 681373, 34202, 239018, 720668, 294684, 705983, 689588, 638754, 58825, 671545, 720689, 704311, 640471, 720711, 720733, 607744, 83473, 656926, 689684, 663458, 9805, 681593, 647129, 9875, 689810, 648849, 640713, 730969, 698196, 730991, 698226, 714634, 714655, 722865, 444364, 722886, 10205, 690158, 690190, 722950, 10262, 722972, 698386, 649285, 706704, 690346, 706725, 698546, 690376, 665801, 616676, 657711, 452917, 698674, 641351, 10583, 657791, 698736, 534901, 706959, 10630, 690566, 715141, 715163, 698768, 682406, 706981, 674234, 698800, 657871, 559552, 715311, 641573, 715332, 698960, 658004, 698990, 641633, 707173, 707195, 281213, 715396, 715418, 649876, 723629, 10935, 723651, 10979, 666399, 371485, 641854, 674621, 715608, 666450, 715630, 600934, 666482, 641931, 715651, 691076, 568199, 715672, 674706, 699306, 723884, 723905, 707553, 691172, 707574, 584725, 699493, 724094, 642191, 724115, 699555, 650418, 691394, 707849, 699649, 707870, 691490]"
4,"[666934, 683368, 691554, 535967, 716244, 716265, 642529, 658941, 593393, 675319, 650768, 691746, 683593, 691778, 519758, 618054, 724561, 724582, 315030, 609950, 708271, 159399, 691874, 601762, 716455, 716476, 708292, 716539, 683763, 716560, 618274, 601894, 618318, 274260, 282467, 700283, 421751, 667517, 470907, 102268, 692096, 716708, 716730, 700347, 683965, 692190, 249830, 634881, 512023, 708652, 323637, 692286, 643150, 708673, 634969, 553069, 684133, 233592, 667791, 716931, 635013, 716952, 692382, 716973, 643239, 463031, 700595, 716994, 725201, 717015, 717036, 725223, 626919, 725244, 692510, 725265, 667978, 643444, 348551, 717192, 684443, 717213, 700819, 709035, 119207, 717234, 332224, 709056, 717255, 717276, 717297, 717318, 610841, 717339, 700975, 709164, 127530, 717360, 701007, 709185, 717381, 676444, 692828, 709248, 717444, 717465, 709269, 53969, 86752, 692986, 439026, 643831, 725796, 725817, 663615, 704567, 668485, 545619, 627562, 688226, 606307, 594824, 717700, 643994, 639103, 717721, 721011, 201629, 721033, 701357, 721054, 635832, 712848, 704663, 701389, 712869, 721075, 598197, 570328, 693210, 611310, 639195, 594956, 701453, 598241, 611354, 712932, 712953, 709673, 668718, 709694, 726095, 598285, 701547, 611434, 532776, 726116, 726137, 598329, 668797, 726158, 177307, 639296, 696640, 496803, 622949, 382160, 663931, 668884, 611566, 701707, 611610, 619802, 136475, 709927, 644390, 693560, 709948, 603444, 726351, 660806, 619846, 693592, 726372, 611698, 688514, 611742, 480671, 685462, 631193, 431533, 710055, 82339, 680364, 688546, 710076, 701899, 619978, 598461, 623037, 718290, 710097, 701931, 710118, 718311, 710139, 598505, 620022, 688608, 631281, 710160, 311807, 688640, 267814, 620066, 156177, 693814, 688672, 710223, 696864, 562752, 713273, 685651, 693846, 483888, 702059, 705097, 710244, 713294, 710265, 664131, 710286, 623213, 123496, 688736, 13975, 696928, 615027, 696960, 112303, 612006, 271019, 718544, 620242, 688832, 505569, 718565, 726776, 729822, 628479, 180954, 710391, 688864, 5887, 672481, 702219, 710412, 726797, 694038, 729843, 612138, 620330, 726818, 726839, 14147, 467730, 595792, 656173, 628567, 688928, 705317, 729906, 710521, 680776, 718713, 697152, 729927, 710542, 718734, 729948, 459613, 639848, 399263, 688992, 697184, 705381, 628655, 710563, 726944, 631677, 729969, 710584, 713613, 726965, 14271, 607128, 713634, 664487, 672698, 6141, 694260, 727028, 702475, 14338, 25535, 727049, 202758, 653337, 669728, 530467, 99291, 582614, 710731, 702537, 14406, 211021, 604271, 710752, 631827, 590870, 304173, 514179, 689212, 607304, 648268, 590914, 186554, 631915, 694482, 555217, 427136, 730247, 730268, 722071, 686334, 727284, 407814, 727305, 702725, 722092, 645409, 153922, 104812, 653670, 705697, 689338, 713909, 670086, 96656, 686526, 711111, 702917, 711132, 702949, 719389, 703013, 719410, 727622, 727643, 268881, 711322, 260757, 416411, 694954, 629417, 713930, 632003, 705729, 591046, 656623, 705761, 615673, 386301, 705823, 673052, 711343, 615717, 173373, 654036, 703231, 730466, 621325, 629505, 711451, 719646, 604958, 318244, 654116, 236332, 703295, 162618, 719667, 711472, 637750, 662347, 719688, 703327, 719709, 697720, 607612, 632179, 605046, 730487, 722314, 195476, 703389, 727958, 547734, 727979, 637858, 728000, 687062, 728021, 359408, 629769, 474126, 703515, 719901, 719922, 662583, 711745, 719943, 719964, 605266, 711766, 646242, 695432, 720027, 728214, 711829, 711850, 728235, 670880, 703675, 720048, 646322, 695496, 556287, 662771, 498954, 703803, 408889, 695624, 703835, 728427, 662909, 720241, 728448, 720262, 703899, 728469, 728490, 687527, 212424, 703963, 671185, 662999, 712167, 679397, 712188, 433667, 695814, 704027, 712209, 712230, 712251, 712272, 695910, 671352, 704121, 728722, 728743, 622245, 630457, 704215, 722335, 597751, 679710, 591266, 730550, 605999, 722356, 730571, 632267, 722377, 646984, 730592, 697848, 679768, 730613, 501250, 687996, 163701, 706077, 704375, 130943, 591398, 706109, 712591, 606087, 720798, 689716, 632399, 712612, 484957, 729018, 689748, 697940, 720820, 720841, 729039, 706173, 720862, 597971, 689780, 714379, 688098, 696292, 698004, 599720, 124580, 344050, 714400, 714421, 714442, 657100, 542401, 673477, 722652, 681683, 272094, 632531, 722673, 18180, 354048, 591618, 665384, 599852, 689968, 255818, 714591, 690000, 182134, 714612, 698290, 600028, 698322, 624635, 690222, 624679, 714802, 698418, 92232, 714823, 690284, 600160, 206953, 682096, 108666, 346243, 723120, 723141, 714970, 698578, 682198, 714991, 706788, 706809, 706830, 624899, 690438, 616720, 624943, 706851, 616764, 723248, 723269, 674154, 518559, 715184, 715205, 698864, 715268, 715289, 723500, 707130, 502322, 707151, 723521, 699022, 486035, 699054, 690886, 715481, 715502, 543480, 600846, 723714, 723735, 199458, 355119, 658255, 592733, 469851, 707426, 707447, 699276, 609176, 666537, 601022, 707510, 682933, 707531, 609220, 715735, 715756, 691204, 322579, 650286, 592953, 551988, 150618, 724052, 724073, 707681, 380017, 707702, 461956, 593041, 593129, 691426, 724221, 675068, 724242, 265518, 650557]"
5,"[707912, 593217, 699713, 707933, 724305, 593261, 724326, 724347, 707954, 707975, 707996, 724368, 593349, 560620, 667119, 691682, 699873, 618010, 290349, 708145, 593481, 708166, 650823, 609862, 61007, 724603, 716413, 609906, 618098, 650910, 716434, 724624, 577215, 659127, 487110, 618186, 691906, 708355, 708376, 700189, 675600, 716623, 692032, 601938, 200536, 28510, 356195, 716644, 716665, 651124, 716686, 667603, 708610, 684054, 708631, 634925, 184385, 651328, 692318, 725116, 151688, 659600, 725137, 651410, 725158, 725179, 700627, 94430, 684334, 725286, 725307, 717150, 725372, 717171, 725393, 111019, 668132, 266742, 389624, 651776, 676358, 692764, 70179, 619065, 684611, 602758, 610973, 684692, 717486, 676527, 316099, 717507, 144101, 701165, 488178, 611061, 720904, 729102, 688130, 701197, 696324, 360471, 704535, 729123, 684849, 676683, 693082, 594780, 32841, 611193, 308102, 668571, 275352, 598153, 717742, 606351, 594868, 725966, 717763, 671946, 46041, 696512, 647364, 725987, 594912, 635876, 450778, 704727, 688354, 660488, 729313, 717869, 680178, 172287, 704759, 717890, 729334, 139517, 693336, 717911, 660591, 704791, 717932, 259183, 103536, 655664, 693400, 78994, 685213, 688450, 611478, 717995, 16725, 709799, 693432, 709820, 718016, 619758, 29980, 95541, 652619, 611654, 718163, 718184, 693624, 726393, 701835, 726414, 693656, 669076, 598417, 701867, 693688, 120283, 631237, 623081, 333307, 729570, 701963, 713188, 713209, 705011, 729591, 235038, 631325, 718418, 647728, 669269, 718439, 726649, 415344, 726670, 218772, 729696, 636561, 652951, 702123, 729717, 292512, 672395, 71334, 688768, 718502, 685735, 623257, 718523, 521907, 38585, 631457, 702155, 688800, 128711, 693974, 631501, 598725, 620286, 685815, 418551, 598769, 685893, 644947, 653141, 697120, 620374, 598857, 726902, 607040, 546678, 726923, 661387, 705349, 374657, 702379, 620462, 669627, 295815, 508801, 358333, 694198, 702411, 656260, 620506, 689054, 598945, 164777, 721859, 607172, 721880, 710689, 590826, 91111, 710710, 694324, 604227, 689148, 22611, 607216, 620638, 607260, 653414, 620682, 631871, 702599, 713783, 713804, 14517, 697436, 730205, 722029, 590958, 705635, 730226, 607348, 80087, 713867, 661715, 722050, 591002, 678118, 664732, 640151, 710899, 710920, 243994, 309537, 661797, 678197, 719179, 719200, 713888, 719305, 612825, 719326, 481754, 719347, 719368, 702981, 637551, 629373, 711280, 727664, 727685, 711301, 727706, 697560, 713951, 681191, 689402, 640243, 713972, 648449, 697624, 727727, 678588, 607524, 705855, 465610, 56014, 727748, 727769, 727790, 697688, 615761, 219896, 695050, 727811, 506660, 670502, 711493, 711514, 441169, 88920, 615805, 705919, 686985, 591222, 646035, 695210, 621501, 629725, 670717, 695304, 695336, 678964, 670798, 638038, 711787, 719985, 687241, 662668, 711808, 720006, 695464, 40099, 638124, 613578, 171215, 695592, 712040, 712061, 712082, 712103, 155096, 695782, 703995, 720410, 597531, 728596, 728617, 720431, 622157, 663171, 695942, 564892, 646805, 695974, 728764, 696006, 687833, 728785, 696038, 640411, 697752, 73491, 728892, 607700, 689620, 597839, 655174, 689652, 728913, 704343, 728934, 714251, 722440, 712549, 712570, 728955, 638841, 597883, 722461, 714272, 632355, 722482, 157255, 581527, 722503, 706141, 722524, 696228, 599632, 435802, 606131, 632443, 665214, 722545, 697972, 376793, 221163, 591530, 598015, 663538, 730790, 720883, 730811, 337585, 198328, 698036, 714463, 665299, 730832, 730853, 714484, 706307, 698132, 640801, 657211, 706371, 599896, 591706, 681846, 509874, 599984, 75710, 714718, 714739, 600072, 550916, 43049, 722993, 600116, 723014, 714844, 362584, 706661, 706682, 714865, 657544, 624811, 649409, 674004, 690408, 641291, 330040, 715098, 715119, 67998, 690598, 707002, 707023, 666050, 690630, 592381, 59913, 690694, 657949, 698896, 674324, 666174, 248393, 715353, 84574, 674408, 715374, 690790, 715523, 592645, 715544, 273169, 723756, 723777, 691012, 699244, 691044, 592777, 715693, 625585, 715714, 52195, 699400, 592909, 76805, 658448, 715819, 691236, 715840, 715861, 715882, 592997, 715903, 404593, 715924, 707807, 724179, 724200, 699617, 716031, 707828, 658702, 593173, 716052, 716073, 716094, 707891]"
6,"[716115, 716136, 44529, 724476, 593437, 724497, 659035, 708313, 700125, 708334, 700157, 618230, 397152, 708481, 708502, 634837, 381089, 405680, 700691, 692542, 668058, 610797, 602670, 160477, 684773, 606219, 729144, 729165, 635744, 693146, 611237, 627650, 712890, 712911, 627694, 668645, 516326, 237832, 647452, 242825, 718037, 718058, 614851, 726522, 726543, 718376, 718397, 655931, 336514, 194221, 612094, 631545, 729864, 697088, 729885, 606996, 607084, 721774, 595880, 721795, 710647, 713655, 713676, 710668, 705477, 620594, 718925, 661596, 686161, 730120, 713741, 718946, 730141, 284785, 713762, 345136, 697404, 705603, 719052, 681077, 366820, 719073, 653538, 279716, 607392, 719221, 719242, 678365, 637408, 121355, 686617, 612913, 596533, 563824, 607480, 632091, 656710, 695018, 662263, 645950, 727916, 490358, 689524, 727937, 711577, 730508, 711598, 605178, 605222, 285989, 711998, 712019, 720326, 720347, 204266, 97798, 720452, 720473, 597619, 597707, 648619, 730529, 288189, 687906, 597795, 712507, 663375, 606043, 507728, 712528, 648706, 49027, 312889, 728976, 728997, 648791, 591486, 698068, 681764, 567128, 690032, 460882, 698514, 616632, 723162, 723183, 477479, 649513, 665892, 682313, 723290, 723311, 641409, 305568, 240186, 592469, 723542, 723563, 313960, 658121, 699148, 682840, 723798, 723819, 715777, 715798, 494661, 691458]"
